Participant;sortID;Condition;Mobile Scenario;Layout;Run;Time needed (s);Characters Shown;Key Strokes;CPS;WPM;KSPC;TLXw;TLX
 19;60;QS;Standing;QWERTY;4;122.58;63;79;0.513950073;6.17;1.25;9.53;7.00
 20;61;OW;Walking;OPTI;1;224.4;85;123;0.378787879;4.55;1.45;11.40;10.83
 20;62;OS;Standing;OPTI;2;176.79;85;93;0.480796425;5.77;1.09;8.20;6.83
 20;63;QS;Standing;QWERTY;3;157.65;91;99;0.577228037;6.93;1.09;8.60;7.33
 20;64;QW;Walking;QWERTY;4;165.97;85;101;0.512140748;6.15;1.19;11.60;10.33
 21;65;QS;Standing;QWERTY;1;224.24;100;140;0.445950767;5.35;1.4;13.53;11.33
 21;66;QW;Walking;QWERTY;2;220.53;84;129;0.380900558;4.57;1.54;13.07;12.00
 21;67;OS;Standing;OPTI;3;233.21;100;120;0.428798079;5.15;1.2;13.13;10.33
 21;68;OW;Walking;OPTI;4;131.82;80;102;0.606888181;7.28;1.28;13.07;10.17
 22;69;QW;Walking;QWERTY;1;210.22;88;104;0.418609076;5.02;1.18;8.40;8.00
 22;70;QS;Standing;QWERTY;2;186.17;109;125;0.585486383;7.03;1.15;10.87;8.17
 22;71;OS;Standing;OPTI;3;222.09;88;110;0.39623576;4.75;1.25;12.07;9.17
 22;72;OW;Walking;OPTI;4;131.3;83;89;0.632140137;7.59;1.07;12.53;9.83
 23;73;OS;Standing;OPTI;1;180.11;75;79;0.416412193;5;1.05;14.40;13.83
 23;74;OW;Walking;OPTI;2;164.48;88;108;0.535019455;6.42;1.23;13.53;13.17
 23;75;QS;Standing;QWERTY;3;181.64;99;108;0.545034133;6.54;1.09;12.33;11.67
 23;76;QW;Walking;QWERTY;4;146.69;91;107;0.620355852;7.44;1.18;12.60;12.00
 24;77;OW;Walking;OPTI;1;230.05;91;229;0.395566181;4.75;2.52;12.80;10.33
 24;78;OS;Standing;OPTI;2;136.86;90;122;0.657606313;7.89;1.36;10.47;9.00
 24;79;QS;Standing;QWERTY;3;173.59;81;133;0.466616741;5.6;1.64;14.27;11.83
 24;80;QW;Walking;QWERTY;4;173.48;72;185;0.415033433;4.98;2.57;12.80;11.17
 25;81;QS;Standing;QWERTY;1;245.78;111;134;0.451623403;5.42;1.21;14.40;13.33
 25;82;QW;Walking;QWERTY;2;212.66;90;126;0.423210759;5.08;1.4;15.60;14.33
 25;83;OW;Walking;OPTI;3;183.76;75;99;0.408141054;4.9;1.32;14.73;14.50
 25;84;OS;Standing;OPTI;4;187.64;89;103;0.474312513;5.69;1.16;14.60;14.00
